Entidad,Partido,Gobernador,Periodo Inicio,Periodo Fin,URL de foto,Twitter
San Luis Potosí,PRI,Teófilo Torres Corzo ,1992-10-09,1993-05-17,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Teofilo..jpg/220px-Teofilo..jpg,
San Luis Potosí,PRI,Horacio Sánchez Unzueta,1993-05-18,1997-09-25,https://farm9.staticflickr.com/8740/17174359758_fa844fc9b6.jpg,
San Luis Potosí,PRI,Fernando Silva Nieto,1997-09-26,2003-09-25,https://pbs.twimg.com/profile_images/2120400852/fototweeter.jpg,
San Luis Potosí,PAN,Jesús Marcelo de los Santos Fraga,2003-09-26,2009-09-25,http://elheraldoslp.com.mx/wp-content/uploads/2015/02/Marcelo-De-los-Santos1.jpg,
San Luis Potosí,PRI,Fernando Toranzo Fernández,2099-09-26,2015-09-25,http://www.redpolitica.mx/sites/default/files/444.jpg?1386178198,
San Luis Potosí,PRI,Juan Manuel Carreras López,2015-09-26,,http://elheraldoslp.com.mx/wp-content/uploads/2015/10/Carreras.jpg,
Sinaloa,PRI,Renato Vega Alvarado,1993-01-01,1998-12-31,http://ahgs.gob.mx/wp-content/uploads/2015/02/renato-vega-1.jpg,
Sinaloa,PRI,Juan Sigfrido Millán,1999-01-01,2004-12-31,http://maxima103.com/cadenacinco/wp-content/uploads/2012/12/Captura-de-pantalla-2012-12-10-a-las-08.57.27-436x360.png,
Sinaloa,PRI,Jesús Aguilar Padilla,2005-01-01,2010-12-31,http://ahgs.gob.mx/wp-content/uploads/2015/02/jesus-aguilar-padilla-.jpg,
Sinaloa,PAN,Mario López Valdez,2011-01-01,,http://goyo310.com/wp-content/uploads/2015/08/nuevaAdmin2.jpg,
Sonora,PRI,Manlio Fabio Beltrones,1991-10-22,1997-09-12,http://www.elregionaldesonora.com.mx/wp-content/uploads/2012/12/3f6b030b-f17e-4695-a41a-64885e89f407.jpg,
Sonora,PRI,Armando López Nogales,1997-09-13,2003-09-12,https://i.ytimg.com/vi/UEJbk4Lmncw/hqdefault.jpg,
